ST,STATE,OCC_TITLE,A_MEAN
AL,Alabama,All Occupations,42510
AL,Alabama,Management Occupations,110210
AL,Alabama,Chief Executives,209300
AL,Alabama,General and Operations Managers,122420
AL,Alabama,Legislators,23390
AL,Alabama,Advertising and Promotions Managers,*
AL,Alabama,Marketing Managers,143590
AL,Alabama,Sales Managers,122120
AL,Alabama,Public Relations and Fundraising Managers,94150
AL,Alabama,Administrative Services Managers,97730
AL,Alabama,Computer and Information Systems Managers,117950
AL,Alabama,Financial Managers,127420
AL,Alabama,Industrial Production Managers,98460
AL,Alabama,Purchasing Managers,108990
AL,Alabama,"Transportation, Storage, and Distribution Managers",94670
AL,Alabama,Compensation and Benefits Managers,125350
AL,Alabama,Human Resources Managers,100130
AL,Alabama,Training and Development Managers,122570
AL,Alabama,Construction Managers,88660
AL,Alabama,"Education Administrators, Preschool and Childcare Center/Program",45870
AL,Alabama,"Education Administrators, Elementary and Secondary School",79410
AL,Alabama,"Education Administrators, Postsecondary",104560
AL,Alabama,"Education Administrators, All Other",90250
AL,Alabama,Architectural and Engineering Managers,139770
AL,Alabama,Food Service Managers,64350
AL,Alabama,Funeral Service Managers,64180
AL,Alabama,Lodging Managers,48000
AL,Alabama,Medical and Health Services Managers,100260
AL,Alabama,Natural Sciences Managers,105330
AL,Alabama,Postmasters and Mail Superintendents,74640
AL,Alabama,"Property, Real Estate, and Community Association Managers",76510
AL,Alabama,Social and Community Service Managers,67670
AL,Alabama,Emergency Management Directors,65750
AL,Alabama,"Managers, All Other",101240
AL,Alabama,Business and Financial Operations Occupations,69890
AL,Alabama,"Buyers and Purchasing Agents, Farm Products",62050
AL,Alabama,"Wholesale and Retail Buyers, Except Farm Products",53350
AL,Alabama,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",65640
AL,Alabama,"Claims Adjusters, Examiners, and Investigators",61010
AL,Alabama,"Insurance Appraisers, Auto Damage",69730
AL,Alabama,Compliance Officers,67100
AL,Alabama,Cost Estimators,61530
AL,Alabama,Human Resources Specialists,57770
AL,Alabama,Labor Relations Specialists,47030
AL,Alabama,Logisticians,87870
AL,Alabama,Management Analysts,93430
AL,Alabama,"Meeting, Convention, and Event Planners",46300
AL,Alabama,Fundraisers,51180
AL,Alabama,"Compensation, Benefits, and Job Analysis Specialists",62080
AL,Alabama,Training and Development Specialists,57170
AL,Alabama,Market Research Analysts and Marketing Specialists,59920
AL,Alabama,"Business Operations Specialists, All Other",80360
AL,Alabama,Accountants and Auditors,67750
AL,Alabama,Appraisers and Assessors of Real Estate,52040
AL,Alabama,Budget Analysts,77860
AL,Alabama,Credit Analysts,65190
AL,Alabama,Financial Analysts,82530
AL,Alabama,Personal Financial Advisors,125640
AL,Alabama,Insurance Underwriters,57880
AL,Alabama,Financial Examiners,65320
AL,Alabama,Credit Counselors,52010
AL,Alabama,Loan Officers,66680
AL,Alabama,"Tax Examiners and Collectors, and Revenue Agents",53800
AL,Alabama,Tax Preparers,33580
AL,Alabama,"Financial Specialists, All Other",72640
AL,Alabama,Computer and Mathematical Occupations,79090
AL,Alabama,Computer and Information Research Scientists,106610
AL,Alabama,Computer Systems Analysts,80230
AL,Alabama,Information Security Analysts,87030
AL,Alabama,Computer Programmers,83450
AL,Alabama,"Software Developers, Applications",93340
AL,Alabama,"Software Developers, Systems Software",100170
AL,Alabama,Web Developers,58770
AL,Alabama,Database Administrators,79460
AL,Alabama,Network and Computer Systems Administrators,71790
AL,Alabama,Computer Network Architects,98780
AL,Alabama,Computer User Support Specialists,46870
AL,Alabama,Computer Network Support Specialists,61280
AL,Alabama,"Computer Occupations, All Other",86670
AL,Alabama,Actuaries,85710
AL,Alabama,Operations Research Analysts,97080
AL,Alabama,Statisticians,63500
AL,Alabama,Architecture and Engineering Occupations,86800
AL,Alabama,"Architects, Except Landscape and Naval",87120
AL,Alabama,Landscape Architects,66020
AL,Alabama,Cartographers and Photogrammetrists,59960
AL,Alabama,Surveyors,54500
AL,Alabama,Aerospace Engineers,115550
AL,Alabama,Chemical Engineers,107200
AL,Alabama,Civil Engineers,78100
AL,Alabama,Computer Hardware Engineers,110050
AL,Alabama,Electrical Engineers,96960
AL,Alabama,"Electronics Engineers, Except Computer",105370
AL,Alabama,Environmental Engineers,82580
AL,Alabama,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",97530
AL,Alabama,Industrial Engineers,85940
AL,Alabama,Materials Engineers,101430
AL,Alabama,Mechanical Engineers,88600
AL,Alabama,"Mining and Geological Engineers, Including Mining Safety Engineers",84610
AL,Alabama,Nuclear Engineers,124220
AL,Alabama,Petroleum Engineers,137810
AL,Alabama,"Engineers, All Other",115160
AL,Alabama,Architectural and Civil Drafters,50690
AL,Alabama,Electrical and Electronics Drafters,56390
AL,Alabama,Mechanical Drafters,58940
AL,Alabama,"Drafters, All Other",43820
AL,Alabama,Aerospace Engineering and Operations Technicians,62370
AL,Alabama,Civil Engineering Technicians,38110
AL,Alabama,Electrical and Electronics Engineering Technicians,61310
AL,Alabama,Electro-Mechanical Technicians,51600
AL,Alabama,Environmental Engineering Technicians,55750
AL,Alabama,Industrial Engineering Technicians,59240
AL,Alabama,Mechanical Engineering Technicians,55610
AL,Alabama,"Engineering Technicians, Except Drafters, All Other",61840
AL,Alabama,Surveying and Mapping Technicians,41460
AL,Alabama,"Life, Physical, and Social Science Occupations",66450
AL,Alabama,Soil and Plant Scientists,69390
AL,Alabama,Biochemists and Biophysicists,70800
AL,Alabama,Microbiologists,57220
AL,Alabama,Zoologists and Wildlife Biologists,55060
AL,Alabama,"Biological Scientists, All Other",64450
AL,Alabama,Conservation Scientists,71180
AL,Alabama,Epidemiologists,61570
AL,Alabama,"Medical Scientists, Except Epidemiologists",89160
AL,Alabama,"Life Scientists, All Other",94170
AL,Alabama,Physicists,127560
AL,Alabama,Chemists,81250
AL,Alabama,Materials Scientists,92890
AL,Alabama,"Environmental Scientists and Specialists, Including Health",60940
AL,Alabama,"Geoscientists, Except Hydrologists and Geographers",72450
AL,Alabama,"Physical Scientists, All Other",108050
AL,Alabama,Economists,100590
AL,Alabama,"Clinical, Counseling, and School Psychologists",70910
AL,Alabama,"Psychologists, All Other",92050
AL,Alabama,Urban and Regional Planners,57660
AL,Alabama,Anthropologists and Archeologists,51230
AL,Alabama,Historians,62180
AL,Alabama,"Social Scientists and Related Workers, All Other",79830
AL,Alabama,Agricultural and Food Science Technicians,48180
AL,Alabama,Biological Technicians,38550
AL,Alabama,Chemical Technicians,49730
AL,Alabama,Geological and Petroleum Technicians,47100
AL,Alabama,"Environmental Science and Protection Technicians, Including Health",50790
AL,Alabama,Forensic Science Technicians,51160
AL,Alabama,Forest and Conservation Technicians,43900
AL,Alabama,"Life, Physical, and Social Science Technicians, All Other",43940
AL,Alabama,Community and Social Service Occupations,43190
AL,Alabama,Substance Abuse and Behavioral Disorder Counselors,41260
AL,Alabama,"Educational, Guidance, School, and Vocational Counselors",51830
AL,Alabama,Marriage and Family Therapists,38360
AL,Alabama,Mental Health Counselors,43760
AL,Alabama,Rehabilitation Counselors,35530
AL,Alabama,"Counselors, All Other",41940
AL,Alabama,"Child, Family, and School Social Workers",40890
AL,Alabama,Healthcare Social Workers,47120
AL,Alabama,Mental Health and Substance Abuse Social Workers,38080
AL,Alabama,"Social Workers, All Other",61430
AL,Alabama,Health Educators,48060
AL,Alabama,Probation Officers and Correctional Treatment Specialists,44650
AL,Alabama,Social and Human Service Assistants,27870
AL,Alabama,Community Health Workers,38440
AL,Alabama,"Community and Social Service Specialists, All Other",29940
AL,Alabama,Clergy,43670
AL,Alabama,"Religious Workers, All Other",37090
AL,Alabama,Legal Occupations,86720
AL,Alabama,Lawyers,118420
AL,Alabama,"Administrative Law Judges, Adjudicators, and Hearing Officers",120550
AL,Alabama,"Arbitrators, Mediators, and Conciliators",65460
AL,Alabama,"Judges, Magistrate Judges, and Magistrates",60540
AL,Alabama,Paralegals and Legal Assistants,45300
AL,Alabama,Court Reporters,38210
AL,Alabama,"Title Examiners, Abstractors, and Searchers",34740
AL,Alabama,"Legal Support Workers, All Other",50100
AL,Alabama,"Education, Training, and Library Occupations",46490
AL,Alabama,"Business Teachers, Postsecondary",90600
AL,Alabama,"Computer Science Teachers, Postsecondary",85000
AL,Alabama,"Mathematical Science Teachers, Postsecondary",66240
AL,Alabama,"Architecture Teachers, Postsecondary",100470
AL,Alabama,"Engineering Teachers, Postsecondary",119790
AL,Alabama,"Agricultural Sciences Teachers, Postsecondary",100180
AL,Alabama,"Biological Science Teachers, Postsecondary",75630
AL,Alabama,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",86850
AL,Alabama,"Chemistry Teachers, Postsecondary",80400
AL,Alabama,"Physics Teachers, Postsecondary",84730
AL,Alabama,"Anthropology and Archeology Teachers, Postsecondary",71650
AL,Alabama,"Economics Teachers, Postsecondary",113530
AL,Alabama,"Geography Teachers, Postsecondary",82210
AL,Alabama,"Political Science Teachers, Postsecondary",81130
AL,Alabama,"Psychology Teachers, Postsecondary",71200
AL,Alabama,"Sociology Teachers, Postsecondary",67160
AL,Alabama,"Health Specialties Teachers, Postsecondary",*
AL,Alabama,"Nursing Instructors and Teachers, Postsecondary",61920
AL,Alabama,"Education Teachers, Postsecondary",72220
AL,Alabama,"Library Science Teachers, Postsecondary",71250
AL,Alabama,"Criminal Justice and Law Enforcement Teachers, Postsecondary",58810
AL,Alabama,"Law Teachers, Postsecondary",111210
AL,Alabama,"Social Work Teachers, Postsecondary",65880
AL,Alabama,"Art, Drama, and Music Teachers, Postsecondary",61810
AL,Alabama,"Communications Teachers, Postsecondary",66800
AL,Alabama,"English Language and Literature Teachers, Postsecondary",57350
AL,Alabama,"Foreign Language and Literature Teachers, Postsecondary",65510
AL,Alabama,"History Teachers, Postsecondary",65230
AL,Alabama,"Philosophy and Religion Teachers, Postsecondary",68530
AL,Alabama,Graduate Teaching Assistants,21020
AL,Alabama,"Home Economics Teachers, Postsecondary",90980
AL,Alabama,"Recreation and Fitness Studies Teachers, Postsecondary",61990
AL,Alabama,"Vocational Education Teachers, Postsecondary",42400
AL,Alabama,"Postsecondary Teachers, All Other",28760
AL,Alabama,"Preschool Teachers, Except Special Education",25940
AL,Alabama,"Kindergarten Teachers, Except Special Education",44020
AL,Alabama,"Elementary School Teachers, Except Special Education",49120
AL,Alabama,"Middle School Teachers, Except Special and Career/Technical Education",49310
AL,Alabama,"Career/Technical Education Teachers, Middle School",54740
AL,Alabama,"Secondary School Teachers, Except Special and Career/Technical Education",50060
AL,Alabama,"Career/Technical Education Teachers, Secondary School",51510
AL,Alabama,"Special Education Teachers, Preschool",48860
AL,Alabama,"Special Education Teachers, Kindergarten and Elementary School",49570
AL,Alabama,"Special Education Teachers, Middle School",50220
AL,Alabama,"Special Education Teachers, Secondary School",52110
AL,Alabama,"Special Education Teachers, All Other",62680
AL,Alabama,Adult Basic and Secondary Education and Literacy Teachers and Instructors,35820
AL,Alabama,Self-Enrichment Education Teachers,37640
AL,Alabama,"Teachers and Instructors, All Other, Except Substitute Teachers",35660
AL,Alabama,Substitute Teachers,18040
AL,Alabama,Archivists,55070
AL,Alabama,Curators,51790
AL,Alabama,Museum Technicians and Conservators,39890
AL,Alabama,Librarians,53350
AL,Alabama,Library Technicians,29140
AL,Alabama,Audio-Visual and Multimedia Collections Specialists,28550
AL,Alabama,Farm and Home Management Advisors,56510
AL,Alabama,Instructional Coordinators,71370
AL,Alabama,Teacher Assistants,20150
AL,Alabama,"Education, Training, and Library Workers, All Other",35990
AL,Alabama,"Arts, Design, Entertainment, Sports, and Media Occupations",41500
AL,Alabama,Art Directors,76100
AL,Alabama,Craft Artists,31030
AL,Alabama,Multimedia Artists and Animators,65090
AL,Alabama,"Artists and Related Workers, All Other",46310
AL,Alabama,Commercial and Industrial Designers,69340
AL,Alabama,Floral Designers,23750
AL,Alabama,Graphic Designers,42780
AL,Alabama,Interior Designers,61020
AL,Alabama,Merchandise Displayers and Window Trimmers,24780
AL,Alabama,Set and Exhibit Designers,47340
AL,Alabama,"Designers, All Other",27980
AL,Alabama,Producers and Directors,48270
AL,Alabama,Coaches and Scouts,36790
AL,Alabama,"Umpires, Referees, and Other Sports Officials",20670
AL,Alabama,Music Directors and Composers,*
AL,Alabama,Musicians and Singers,*
AL,Alabama,"Entertainers and Performers, Sports and Related Workers, All Other",*
AL,Alabama,Radio and Television Announcers,30550
AL,Alabama,Public Address System and Other Announcers,*
AL,Alabama,Broadcast News Analysts,77990
AL,Alabama,Reporters and Correspondents,34930
AL,Alabama,Public Relations Specialists,50920
AL,Alabama,Editors,52260
AL,Alabama,Technical Writers,64900
AL,Alabama,Writers and Authors,51360
AL,Alabama,Interpreters and Translators,43260
AL,Alabama,Audio and Video Equipment Technicians,37720
AL,Alabama,Broadcast Technicians,36530
AL,Alabama,Sound Engineering Technicians,41610
AL,Alabama,Photographers,35590
AL,Alabama,"Camera Operators, Television, Video, and Motion Picture",44200
AL,Alabama,Film and Video Editors,41870
AL,Alabama,"Media and Communication Equipment Workers, All Other",62280
AL,Alabama,Healthcare Practitioners and Technical Occupations,69020
AL,Alabama,Chiropractors,84770
AL,Alabama,"Dentists, General",183480
AL,Alabama,Oral and Maxillofacial Surgeons,146420
AL,Alabama,Orthodontists,287250
AL,Alabama,"Dentists, All Other Specialists",169860
AL,Alabama,Dietitians and Nutritionists,54000
AL,Alabama,Optometrists,106500
AL,Alabama,Pharmacists,120340
AL,Alabama,Anesthesiologists,#
AL,Alabama,Family and General Practitioners,189640
AL,Alabama,"Internists, General",274930
AL,Alabama,Obstetricians and Gynecologists,216350
AL,Alabama,"Pediatricians, General",209040
AL,Alabama,Psychiatrists,191400
AL,Alabama,Surgeons,279770
AL,Alabama,"Physicians and Surgeons, All Other",242890
AL,Alabama,Physician Assistants,97500
AL,Alabama,Podiatrists,122600
AL,Alabama,Occupational Therapists,82250
AL,Alabama,Physical Therapists,86130
AL,Alabama,Radiation Therapists,80130
AL,Alabama,Recreational Therapists,44370
AL,Alabama,Respiratory Therapists,47090
AL,Alabama,Speech-Language Pathologists,70680
AL,Alabama,Exercise Physiologists,41450
AL,Alabama,"Therapists, All Other",53430
AL,Alabama,Veterinarians,78490
AL,Alabama,Registered Nurses,56900
AL,Alabama,Nurse Anesthetists,158060
AL,Alabama,Nurse Practitioners,92130
AL,Alabama,Audiologists,70940
AL,Alabama,Medical and Clinical Laboratory Technologists,54160
AL,Alabama,Medical and Clinical Laboratory Technicians,35490
AL,Alabama,Dental Hygienists,44760
AL,Alabama,Cardiovascular Technologists and Technicians,49130
AL,Alabama,Diagnostic Medical Sonographers,54940
AL,Alabama,Nuclear Medicine Technologists,61760
AL,Alabama,Radiologic Technologists,47530
AL,Alabama,Magnetic Resonance Imaging Technologists,61070
AL,Alabama,Emergency Medical Technicians and Paramedics,28670
AL,Alabama,Dietetic Technicians,33940
AL,Alabama,Pharmacy Technicians,27870
AL,Alabama,Psychiatric Technicians,28080
AL,Alabama,Respiratory Therapy Technicians,42790
AL,Alabama,Surgical Technologists,35110
AL,Alabama,Veterinary Technologists and Technicians,28440
AL,Alabama,Ophthalmic Medical Technicians,32830
AL,Alabama,Licensed Practical and Licensed Vocational Nurses,36300
AL,Alabama,Medical Records and Health Information Technicians,34740
AL,Alabama,"Opticians, Dispensing",31530
AL,Alabama,Orthotists and Prosthetists,77470
AL,Alabama,Hearing Aid Specialists,52190
AL,Alabama,"Health Technologists and Technicians, All Other",41220
AL,Alabama,Occupational Health and Safety Specialists,69810
AL,Alabama,Occupational Health and Safety Technicians,54410
AL,Alabama,Athletic Trainers,43810
AL,Alabama,Genetic Counselors,47530
AL,Alabama,"Healthcare Practitioners and Technical Workers, All Other",33520
AL,Alabama,Healthcare Support Occupations,26050
AL,Alabama,Home Health Aides,20020
AL,Alabama,Psychiatric Aides,24460
AL,Alabama,Nursing Assistants,22690
AL,Alabama,Orderlies,22480
AL,Alabama,Occupational Therapy Assistants,58020
AL,Alabama,Occupational Therapy Aides,27690
AL,Alabama,Physical Therapist Assistants,53910
AL,Alabama,Physical Therapist Aides,27330
