GeoFips,GeoName,2015
0,United States,100
1000,Alabama,86.8
2000,Alaska,105.6
4000,Arizona,96.2
5000,Arkansas,87.4
6000,California,113.4
8000,Colorado,103.2
9000,Connecticut,108.7
10000,Delaware,100.4
11000,District of Columbia,117
12000,Florida,99.5
13000,Georgia,92.6
15000,Hawaii,118.8
16000,Idaho,93.4
17000,Illinois,99.7
18000,Indiana,90.7
19000,Iowa,90.3
20000,Kansas,90.4
21000,Kentucky,88.6
22000,Louisiana,90.6
23000,Maine,98
24000,Maryland,109.6
25000,Massachusetts,106.9
26000,Michigan,93.5
27000,Minnesota,97.4
28000,Mississippi,86.2
29000,Missouri,89.3
30000,Montana,94.8
31000,Nebraska,90.6
32000,Nevada,98
33000,New Hampshire,105
34000,New Jersey,113.4
35000,New Mexico,94.4
36000,New York,115.3
37000,North Carolina,91.2
38000,North Dakota,92.3
39000,Ohio,89.2
40000,Oklahoma,89.9
41000,Oregon,99.2
42000,Pennsylvania,97.9
44000,Rhode Island,98.7
45000,South Carolina,90.3
46000,South Dakota,88.2
47000,Tennessee,89.9
48000,Texas,96.8
49000,Utah,97
50000,Vermont,101.6
51000,Virginia,102.5
53000,Washington,104.8
54000,West Virginia,88.9
55000,Wisconsin,93.1
56000,Wyoming,96.2
