"xxx"	"xxx"	"xxx"	"Ph.D. student at Columbia University in the City of New York"	"New York, New York"	186	"Columbia Engineering"	2015	"2019"	"   Computer Science"	"   Doctor of Philosophy (Ph.D.)"	"Columbia University in the City of New York"	2013	"2014"	"   Statistics"	"   MA in Statistics"	"Peking University"	2009	"2013"	"   Mathematics(Major) Economics(Minor)"	"   Bachelor of Science (BS) and Bachelor of Economics"	""	NA	""	""	""	""	NA	""	""	""	""	NA	""	""	""	NA
"xxx"	"xxx"	"xxx"	"Undergraduate Teaching Assistant at University of South Carolina"	"Laurens, South Carolina"	19	"University of South Carolina-Columbia"	2015	"2019"	"   Computer Science"	""	""	NA	""	""	""	""	NA	""	""	""	"University of South Carolina&#39;s Student Success Center"	2017.1	"present"	"   Peer Tutor"	"   Columbia, South Carolina"	"University of South Carolina"	2017.8	"present"	"   Undergraduate Teaching Assistant"	""	""	NA	""	""	""	NA
"xxx"	"xxx"	"xxx"	"Student at The University of British Columbia"	"Vernon, British Columbia, Canada"	25	"The University of British Columbia"	2015	"2019"	"   Computer Science"	""	""	NA	""	""	""	""	NA	""	""	""	"Butcher Boys Grocery Store "	2013.1	"present"	"   Cashier "	""	""	NA	""	""	""	""	NA	""	""	""	NA
"xxx"	"xxx"	"xxx"	"Postdoctoral Fellow at Toronto Rehabilitation Institute-UHN"	"Greater New York City Area"	317	"Columbia University - Fu Foundation School of Engineering and Applied Science"	2010	"2017"	"   Machine Learning"	"   Doctor of Philosophy (PhD)"	"Columbia University in the City of New York"	2009	"2010"	"   Computer Science"	"   Master&#39;s degree"	"University of Engineering and Technology, Lahore"	2005	"2007"	"   Applied Mathematics"	"   Master of Philosophy (M.Phil.)"	"Columbia University in the City of New York"	2014.1	"2014.5"	"   Teaching Assistant- Introduction to Quantum Computing"	""	"Columbia University in the City of New York"	2014.1	"2014.5"	"   Teaching Assistant- Machine Learning for Data Sciences"	""	"LinkedIn"	2014.6	"2014.9"	"   Data Scientist Intern"	"   Mountain View, California"	NA
"xxx"	"xxx"	"xxx"	"Senior Strategy and Business Executive"	"Greater New York City Area"	500	"Columbia University in the City of New York"	2015	"2017"	""	"   Executive Master of Science (M.S.), Technology Management"	"Hofstra University"	2008	"2012"	""	"   Doctor of Law (J.D.), Master of Business Administration (M.B.A.)"	"New York University"	2002	"2006"	"   Political Science and Government"	"   Bachelor of Arts (B.A.)"	"NYC Department of Finance"	2011	"2012.11"	"   Contracting Officer"	"   Greater New York City Area"	"Accenture"	2012.11	"2013.6"	"   IT Contracts Manager"	"   Greater New York City Area"	"EmblemHealth"	2013.6	"2015.8"	"   Director, Administration Transformation Procurement Leader"	"   Greater New York City Area"	NA
"xxx"	"xxx"	"xxx"	"Research Intern, Digital Video and Multimedia Lab at Columbia University in the City of New York"	"New York, New York"	161	"Columbia Engineering"	2015	"2018"	"   Computer Science"	"   Bachelorâs Degree"	"Vasant Valley School"	2001	"2014"	""	"   High School"	""	NA	""	""	""	"Eduwizards Infosolutions Pvt Ltd."	2014.7	"2014.8"	"   Software Development Intern"	""	"DGM India"	2015.7	"2015.8"	"   Software Development Intern"	"   Gurgaon, India"	"Columbia University in the City of New York"	2016.7	"present"	"   Research Intern, Digital Video and Multimedia Lab"	""	NA
"xxx"	"xxx"	"xxx"	"Assistant Solicitor General at Office of the Attorney General of the State of New York"	"Greater New York City Area"	500	"Columbia University School of Law"	2005	"2008"	""	"   J.D."	"University of Oxford"	2001	"2003"	"   English Romantic Studies"	"   M.Phil."	"Georgetown University"	1997	"2001"	"   English and French"	"   B.A."	"Sullivan &amp; Cromwell LLP"	2007.5	"2007.8"	"   Summer Associate"	"   Greater New York City Area"	"US Courts"	2008.8	"2009.8"	"   Law Clerk"	""	"Paul, Weiss, Rifkind, Wharton &amp; Garrison LLP"	2009.11	"2012.8"	"   Associate"	""	NA
"xxx"	"xxx"	"xxx"	"Intern at Microsoft"	"Los Angeles, California"	459	"Columbia University in the City of New York"	2015	"2019"	"   Computer Science"	"   Bachelorâs Degree"	"Harvard-Westlake School"	2009	"2015"	""	"   High School"	""	NA	""	""	""	"St. Cloud Capital, LLC"	2015.7	"2015.8"	"   Intern"	"   Greater Los Angeles Area"	"Peer Health Exchange"	2016.1	"present"	"   Senior Health Education Volunteer"	"   Greater New York City Area"	"Pinterest"	2016.6	"2016.8"	"   Software Engineering Intern"	"   San Francisco Bay Area"	NA
"xxx"	"xxx"	"xxx"	"Kaggler, PhD Student, Intern @ NVIDIA"	"Columbia, Missouri"	135	"University of Missouri-Columbia"	2015	"2019"	"   Computer Science"	"   Doctor of Philosophy (Ph.D.)"	"University of Missouri-Columbia"	2012	"2015"	"   Electrical and Electronics Engineering"	"   Master of Science (M.S.)"	"China University of Mining and Technology"	2007	"2011"	"   Physics"	"   Bachelor of Science (B.S.)"	"University of Missouri"	2013.3	"2015.5"	"   Research Assistant"	"   MU Computer Vision Lab"	"University of Missouri"	2016.2	"present"	"   Research Assistant"	"   247 Engineering Building West"	"è±ä¼è¾¾"	2017.6	"2018.1"	"   Reseach Intern"	""	NA
"xxx"	"xxx"	"xxx"	"Kernel Engineering Manager at Apple"	"San Francisco Bay Area"	295	"Columbia Engineering"	2011	"2013"	"   Computer Science"	"   Master of Philosophy (M.Phil.)"	"Columbia University in the City of New York"	2010	"2015"	"   Computer Science"	"   Doctor of Philosophy (Ph.D.)"	"Columbia University in the City of New York"	2008	"2011"	"   Computer Science"	"   Master&#39;s Degree"	"Gentex Corporation"	2003.6	"2010.8"	"   Senior Electronics Research Engineer"	""	"Columbia University"	2010.8	"2015.2"	"   Computer Science PhD Candidate"	"   Greater New York City Area"	"NVIDIA"	2011.1	"2011.11"	"   Mobile Computer Vision Applications Engineer"	""	NA
"xxx"	"xxx"	"xxx"	"Business Development &amp; Global Licensing"	"Kansas City, Missouri Area"	500	"Rockhurst University"	NA	""	""	"   Master of Business Administration (M.B.A.)"	"University of Missouri-Columbia"	1978	"1982"	"   Computer Science"	""	""	NA	""	""	""	"Hallmark"	1990	"2010.1"	"   Sr Vice-President &amp; General Manager"	""	"Hallmark Cards"	2009.1	"2015.9"	"   Sr. Vice-President Strategic Planning and Finance"	""	"Hallmark Cards"	2015.9	"present"	"   Senior Vice President Corporate Strategy / Business Development / Global Licensing"	""	NA
"xxx"	"xxx"	"xxx"	"Assistant Professor at UC Santa Barbara"	"Santa Barbara, California"	495	"Carnegie Mellon University"	2011	"2015"	"   Computer Science - Language and Information Technology"	"   PhD"	"Columbia Engineering"	2009	"2011"	"   Computer Science"	"   MS"	""	NA	""	""	""	"Carnegie Mellon University"	2011.9	"2016.5"	"   PhD research fellow"	"   Greater Pittsburgh Area"	"Microsoft Research"	2012.1	"2013.1"	"   Research Intern"	""	"Microsoft Research Redmond"	2012.5	"2012.8"	"   Research Intern"	"   Redmond, WA"	NA
"xxx"	"xxx"	"xxx"	"Lecturer in Discipline, Department of Computer Science at Columbia University in the City of New York"	"Greater New York City Area"	500	"Columbia University in the City of New York"	2004	"2008"	"   Computer Science"	"   PhD"	"Columbia University in the City of New York"	2002	"2004"	"   Computer Science"	"   MPhil"	"Columbia University in the City of New York"	2000	"2002"	"   Computer Science"	"   MS"	"Columbia University"	2008.7	"2014.9"	"   Assistant Director, Computing Research Facilities, Department of Computer Science"	""	"Columbia University"	2008.9	"2015.6"	"   Adjunct Assistant Professor, Department of Computer Science"	""	"Columbia University in the City of New York"	2014.9	"2015.6"	"   Director, Computing Research Facilities, Department of Computer Science"	""	NA
"xxx"	"xxx"	"xxx"	"Research Analyst at BlueList Partners, LLC"	"Arlington, Virginia"	104	"George Mason University"	2012	"2015"	"   B.S. in Economics"	"   Bachelor of Science (B.S.)"	"University of South Carolina-Columbia"	2010	"2012"	"   Computer Science"	""	""	NA	""	""	""	"BlueList Partners, LLC"	2015.8	"present"	"   Research Analyst"	"   Mclean, Virginia"	""	NA	""	""	""	""	NA	""	""	""	NA
"xxx"	"xxx"	"xxx"	"Full stack web developer"	"Columbia, Missouri"	278	"University of Missouri-Columbia"	2015	"2018"	"   Computer Science"	"   Masterâs Degree"	"Visvesvaraya Technological University"	2009	"2013"	"   Electrical and Electronics Engineering"	"   Bachelor of Engineering (BE)"	""	NA	""	""	""	"Tech Mahindra"	2013.1	"2015.6"	"   Software engineer"	"   Bengaluru Area, India"	"University of Missouri"	2015.9	"present"	"   Graduate Research Assistant"	"   Colombia"	""	NA	""	""	""	NA
"xxx"	"xxx"	"xxx"	"Software Engineer at Two Tall Totems"	"Vancouver, British Columbia, Canada"	346	"The University of British Columbia"	2015	"2017"	"   Computer Science"	"   Master&#39;s Degree"	"Lahore University of Management Sciences"	2010	"2014"	"   Computer Science"	"   Bachelor of Science (BS)"	"Karachi Grammar School"	2007	"2010"	""	"   High School"	"Qineqt Pk Pvt Ltd"	2014.8	"2014.12"	"   Technology Analyst + Software Engineer"	"   Karachi Pakistan"	"The University of British Columbia"	2015.1	"2015.4"	"   Teachers Assistant - Distributed Systems"	"   Vancouver"	"Connected Lab"	2015.5	"2015.8"	"   Software Engineer"	"   Toronto, Canada Area"	NA
"xxx"	"xxx"	"xxx"	"Software Engineer at Stripe"	"Sunnyvale, California"	500	"Columbia University - Fu Foundation School of Engineering and Applied Science"	2010	"2013"	"   Computer Science"	"   BS"	"Homestead High School"	2006	"2010"	""	""	""	NA	""	""	""	"SecondMarket, Inc."	2011.5	"2011.8"	"   Technology Intern"	"   Greater New York City Area"	"Google"	2012.5	"2012.8"	"   Software Developer Intern"	"   Montreal, Canada Area"	"Facebook"	2014.1	"2015.11"	"   Software Engineer"	""	NA
"xxx"	"xxx"	"xxx"	"Software Engineer at Houseparty (Life on Air.)"	"San Francisco Bay Area"	500	"Columbia University in the City of New York"	2011	"2015"	"   Computer Science"	"   Bachelor of Science (BS)"	"National High School Institute at Northwestern University"	2010	"2010"	"   Journalism"	""	"Pine Crest School"	2007	"2011"	""	"   High School"	"Columbia Daily Spectator"	2012.12	"2013.9"	"   Editor of Spectrum"	""	"The New York Times"	2013.9	"2014.9"	"   Technology Analytics Associate"	"   New York, NY"	"Facebook"	2015.6	"2016.7"	"   Data Scientist"	""	NA
"xxx"	"xxx"	"xxx"	"iOS Software Engineer at Apple"	"Cupertino, California"	107	"The University of British Columbia"	2011	"2015"	"   Computer Science"	"   BSc"	"University of Waterloo"	2010	"2011"	"   Systems Design Engineering"	"   BASc"	""	NA	""	""	""	"FundSERV Inc."	2011.1	"2011.4"	"   Technical Support &amp; UAT Analyst"	"   Toronto, Canada Area"	"SAP"	2012.1	"2012.8"	"   Software Developer in Test"	"   Vancouver, Canada Area"	"Apple"	2013.5	"2013.12"	"   iOS Software Engineer"	"   Cupertino, CA"	NA
"xxx"	"xxx"	"xxx"	"Research Intern at Microsoft"	"New York, New York"	500	"Columbia University in the City of New York"	2012	"2017"	"   Computer Science"	"   Doctor of Philosophy (PhD)"	"Columbia University in the City of New York"	2012	"2014"	"   Computer Science"	"   Master of Science (M.S.)"	"Iran University of Science and Technology"	2009	"2012"	"   Artificial Intelligence"	"   Master&#39;s degree"	"Columbia University"	2012.9	"present"	"   PhD student"	""	"Nuance Communications"	2013.5	"2013.8"	"   Research intern"	""	"Yahoo"	2014.6	"2014.8"	"   Research Intern"	"   Greater New York City Area"	NA
"xxx"	"xxx"	"xxx"	"e-Learning Specialist at UBC Okanagan"	"British Columbia, Canada"	500	"The University of British Columbia"	NA	""	"   Computer Science, Education"	""	""	NA	""	""	""	""	NA	""	""	""	"IBM"	2001	"2009"	"   IT Specialist"	""	"The University of British Columbia&#39;s Okanagan campus"	2009	"present"	"   e-Learning Specialist"	""	""	NA	""	""	""	NA
"xxx"	"xxx"	"xxx"	"Junior Programmer at RIORDAN BROTHERS INTEGRATION, INC."	"Morton Grove, Illinois"	255	"Columbia College Chicago"	2013	"2015"	""	""	"DePaul University"	2011	"2013"	"   Computer Science"	""	""	NA	""	""	""	"Theater Department - Columbia College Chicago"	2015.2	"2015.3"	"   Lead Sound Designer - Getting Out Production"	"   Chicago"	"Manifest Columbia College Chicago"	2015.5	"2015.5"	"   PM Tech"	"   Chicago"	"DEPS Columbia College Chicago"	2015.7	"present"	"   Audio &amp; Visual Production Assistant"	"   Chicago"	NA
"xxx"	"xxx"	"xxx"	"Software Engineer at Google"	"Mountain View, California"	279	"Columbia University"	2012	"2013"	"   Computer Science"	"   Master of Science"	"Zhejiang University of Technology (ZJUT)"	2008	"2012"	"   Software Engineering"	"   Bachelor of Engineering"	""	NA	""	""	""	"Columbia University"	2013.1	"2013.12"	"   Teaching Assistant"	""	"Thomson Reuters"	2013.6	"2013.8"	"   Intern (Software Developer)"	"   3 Times Square, New York, NY"	"EMC"	2014.4	"2015.7"	"   Software Engineer"	"   Greater Seattle Area"	NA
"xxx"	"xxx"	"xxx"	"Student at Columbia University in the City of New York"	"New York, New York"	265	"Columbia University in the City of New York"	2015	"2019"	"   Computer Science"	"   Bachelor of Science - BS"	"Phillips Exeter Academy"	2011	"2015"	""	"   High School"	""	NA	""	""	""	"CNN"	2017.6	"2017.8"	"   International News Intern"	"   Hong Kong"	"VICE Media"	2018.1	"present"	"   VICE News Intern"	"   Greater New York City Area"	""	NA	""	""	""	NA
"xxx"	"xxx"	"xxx"	"PhD Candidate at Columbia University"	"Greater New York City Area"	500	"Columbia University"	2015	"2020"	"   Computer Science"	"   Doctor of Philosophy (Ph.D.)"	"Tsinghua University"	2012	"2015"	"   Pure and Applied Math"	"   Bachelor of Science (B.S.)"	"Tsinghua University"	2011	"2015"	"   Computer Science"	"   Bachelor of Engineering (B.Eng.)"	"UC Berkeley"	2014.7	"2014.9"	"   Research Intern"	"   San Francisco Bay Area"	"Baidu, Inc."	2015.2	"2015.7"	"   Research Intern"	"   Beijing City, China"	"Columbia University in the City of New York"	2015.8	"present"	"   Graduate Research Assistant"	"   Greater New York City Area"	NA
"xxx"	"xxx"	"xxx"	"Software Developer at Epic"	"Ithaca, New York"	136	"Cornell University"	2017	"2018"	"   Computer Science"	"   Master of Engineering - MEng"	"Freie UniversitÃ¤t Berlin"	2014	"2014"	"   Mathematics and Computer Science"	""	"Cornell University"	2011	"2015"	"   Mathematics and Computer Science"	"   Bachelor of Arts (B.A.)"	"Cornell University Department of Computer Science"	2013.6	"2013.8"	"   Undergraduate Teaching Assistant for CS 2110 - Objected-Oriented Programming and Data Structures"	"   Ithaca, New York Area"	"Cornell University Department of Mathematics - Research Experience for Undergraduates"	2013.6	"2013.8"	"   Researcher"	"   Ithaca, New York Area"	"Cornell University Department of Computer Science"	2013.8	"2015.5"	"   Supervising Teaching Assistant for CS 1110, CS 1130, and CS 1133"	"   Ithaca, New York Area"	NA
"xxx"	"xxx"	"xxx"	"Cofounder &amp; Executive Director of  Columbia Blockchain Lab"	"New York, New York"	500	"Columbia University in the City of New York"	2015	"2019.5"	"   Computer Science"	"   Bachelorâs Degree"	"The Indiana Academy for Science, Mathematics, and Humanities"	2013	"2015"	"   High School"	"   High School"	""	NA	""	""	""	"Indiana University School of Medicine"	2014.5	"2014.8"	"   Cancer Research Internship"	"   Guise Lab"	"Columbia Organization of Rising Entrepreneurs"	2015.9	"present"	"   Executive Board Member"	"   Columbia University  New York, New York"	"Purdue University"	2016.6	"2017.5"	"   Machine Learning Research Intern"	"   Lafayette, Indiana Area"	NA
"xxx"	"xxx"	"xxx"	"Equity Research Analyst at Credit Suisse"	"New York, New York"	500	"Columbia University in the City of New York"	2015	"2017"	"   Computer Science"	"   Bachelorâs Degree"	"Middlebury College"	2012	"2015"	""	""	"Cranbrook Kingswood"	2008	"2012"	""	"   High School"	"Stifel Financial Corp."	2015.6	"2015.7"	"   Investment Banking Summer Analyst"	"   NY, NY"	"Lion Fund LLC"	2015.9	"2017.5"	"   Managing Director"	"   Greater New York City Area"	"Morgan Stanley"	2016.6	"2016.8"	"   Sales and Trading Summer Analyst"	"   Greater New York City Area"	NA
"xxx"	"xxx"	"xxx"	"Junior CS major at Howard University"	"Washington, District Of Columbia"	220	"Howard University"	2015	"2019"	"   Computer Science"	"   B.Sc"	""	NA	""	""	""	""	NA	""	""	""	"Howard University"	2015.9	"2016.4"	"   Research Assistant"	""	"Howard University"	2017.1	"present"	"   System Administrator intern"	"   Washington D.C. Metro Area"	"Howard University"	2017.2	"2017.5"	"   Undergraduate Researcher"	"   Washington, District Of Columbia"	NA
"xxx"	"xxx"	"xxx"	"Software Engineer at MDA"	"Vancouver, British Columbia, Canada"	118	"The University of British Columbia"	2011	"2015"	"   Computer Science"	"   Bachelor of Computer Science (BCS)"	"The University of British Columbia"	2006	"2011"	"   Civil Engineering"	"   Bachelor of Applied Science (BASc)"	""	NA	""	""	""	"Thurber Engineering Ltd."	2008.5	"2008.12"	"   Field Technician"	""	"SAP"	2012.9	"2013.8"	"   Software Developer in Test"	"   Vancouver, BC"	"MDA"	2015.5	"present"	"   Software Engineer II"	"   Richmond, BC"	NA
"xxx"	"xxx"	"xxx"	"Graduate Research Assistant at The University of British Columbia"	"Kelowna, British Columbia, Canada"	80	"The University of British Columbia"	2017	"2019"	"   Population and Public Health"	"   Master of Science - MS"	"National University of Singapore"	2015	"2016"	"   Computer Science"	"   Bachelor of Science (B.Sc.)"	"Stanford University"	2014	"2014"	"   Computer Science"	""	"Central Okanagan Sailing Association"	2011.6	"2013.8"	"   Windsurfing / Sailing Instructor"	"   Kelowna, BC"	"The University of British Columbia"	2014.9	"2017.4"	"   Teaching Assistant"	"   Kelowna, BC"	"BC Cancer Agency"	2015.5	"2015.8"	"   Surgical Oncology Research Intern"	""	NA
"xxx"	"xxx"	"xxx"	"Principal Software Engineer at Microsoft"	"Vancouver, British Columbia, Canada"	313	"The University of British Columbia"	2005	"2011"	"   Computer Science"	"   Doctor of Philosophy (Ph.D.)"	"California Polytechnic State University-San Luis Obispo"	2003	"2005"	"   Computer Science"	"   Master of Science (M.Sc.)"	"University of California, Berkeley"	2000	"2002"	"   Philosophy"	"   Bachelor of Arts (B.A.)"	"Python Development Team"	2003.4	"present"	"   Core Developer"	""	"Oplop"	2009.9	"present"	"   Creator"	""	"caniusepython3"	2014.2	"present"	"   Creator"	""	NA
"xxx"	"xxx"	"xxx"	"Software Engineer at Bloomberg LP"	"Greater New York City Area"	139	"Columbia Engineering"	2015	"2017"	"   Computer Science"	"   Masterâs Degree"	"Stanford University"	2013	"2015"	"   Computer Science"	""	"Columbia Engineering"	2005	"2009"	"   Applied Physics"	"   B.S."	"JetBlue Airways"	2013.6	"2014.6"	"   Senior Analyst, Revenue Management"	""	"JetBlue Airways"	2014.6	"2015.7"	"   Senior Analyst, Customer Insights Digital"	""	"JetBlue Airways"	2015.7	"2015.12"	"   Intern, Customer Insights Digital"	""	NA
"xxx"	"xxx"	"xxx"	"Software Engineer @ Twitter &amp; Graduate Student @ Stanford"	"San Francisco, California"	500	"Stanford University"	2016	"2018"	"   Computer Science, Track: Artificial Intelligence"	"   Master of Science (M.S.)"	"Columbia University in the City of New York"	2011	"2015"	"   Operations Research / Computer Science"	"   Bachelorâs Degree"	"Novi High School"	2007	"2011"	""	"   High School"	"Lakshya Group LLC"	2013.7	"2014.4"	"   Co-Founder and Software Architect - Internet Startup"	"   New York"	"Citi"	2014.6	"2014.8"	"   Institutional Clients Group - Software Engineering"	""	"Columbia University in the City of New York"	2014.7	"2015.1"	"   Undergraduate Student Researcher"	""	NA
"xxx"	"xxx"	"xxx"	"Graduate Student"	"New York, New York"	123	"Columbia Engineering"	2016	"2018"	"   Computer Science"	"   Masterâs Degree"	"Williams College"	2009	"2013"	"   Mathematics and Economics"	"   Bachelor of Arts (B.A.)"	""	NA	""	""	""	"WCFM Williamstown"	2010	"2013"	"   On-Air DJ and News &amp; Community Affairs Director"	"   Williamstown, MA"	"Creative Chaos VMG"	2014.1	"2014.4"	"   Production Intern"	"   Brooklyn, NY"	"Tutoring Club North County Fair"	2014.5	"2014.7"	"   Tutor"	""	NA
"xxx"	"xxx"	"xxx"	"Twitter"	"San Francisco Bay Area"	473	"Thapar University"	2009	"2013"	"   Computer Engineering"	"   B.E"	"Montfort School"	NA	""	""	""	""	NA	""	""	""	"Microsoft - Bing Search Relevance and Cortana"	2013.7	"2015.10"	"   Software Engineer 2"	"   Hyderabad Area, India"	"Instamojo"	2015.1	"2016.6"	"   Software Engineer"	"   Bengaluru Area, India"	"Columbia University in the City of New York"	2016.9	"2017.5"	"   Graduate Teaching Assistant"	"   Greater New York City Area"	NA
"xxx"	"xxx"	"xxx"	"Student at Columbia University"	"New York, New York"	100	"Henry M. Gunn High School"	NA	""	""	""	"Interlake High School"	2011	"2013"	""	""	""	NA	""	""	""	"Columbia Software Systems Lab"	2014.6	"2014.8"	"   Research Assistant"	"   Greater New York City Area"	"PersonaBase"	2014.6	"2014.12"	"   CTO, Co-Founder"	"   MIT"	"Cassia Networks"	2015.2	"2015.8"	"   Intern SDE"	"   Palo Alto, CA"	NA
"xxx"	"xxx"	"xxx"	"Graduate student at Columbia"	"Greater New York City Area"	500	"Columbia University in the City of New York"	2015	"2016"	"   Computer Science"	"   Masterâs Degree"	"Institute Of Engineering and Management"	2002	"2006"	"   Computer Science and Engineering"	"   Bachelor&#39;s Degree"	"Kendriya Vidyalaya"	1990	"2002"	"   Physical Sciences, Chemistry, Mathematics, Biology"	"   High School"	"Tata Consultancy Services"	2011.3	"2014.8"	"   Senior J2EE Developer"	"   Atlanta, Georgia, USA"	"Tata Consultancy Services"	2014.9	"2015.7"	"   J2EE Technical Lead"	"   Kolkata, India"	"Columbia University in the City of New York"	2015.9	"2015.12"	"   Teaching Assistant"	"   Greater New York City Area"	NA
"xxx"	"xxx"	"xxx"	"Machine Learning Enthusiast"	"Greater New York City Area"	500	"Columbia University in the City of New York"	2017	"2018"	"   Computer Science"	"   Master&#39;s degree"	"Indian Institute of Technology, Guwahati"	2012	"2016"	"   Electrical and Electronics Engineering"	"   Bachelorâs Degree"	""	NA	""	""	""	"Indian Institute of Technology, Roorkee"	2014.5	"2014.7"	"   Summer Research Intern"	"   Roorkee"	"Flipkart"	2015.5	"2015.7"	"   Graduate Trainee Intern"	"   Bengaluru Area, India"	"Indian Institute of Technology, Guwahati"	2015.7	"2016.7"	"   Undergraduate Researcher"	"   India"	NA
"xxx"	"xxx"	"xxx"	"Software Engineer at Google"	"Greater New York City Area"	461	"Columbia University in the City of New York"	2014	"2015"	"   Computer Science"	"   Master of Science (M.S.)"	"National Institute of Technology Warangal"	2008	"2012"	"   computer science and engineering"	"   Bachelor of Technology (B.Tech.)"	"Indian School Al Ghubra"	2006	"2008"	""	"   12th grade"	"Viweon Technologies Pvt Ltd"	2012.5	"2012.7"	"   SDE Intern"	"   Hyderabad"	"Morgan Stanley"	2012.8	"2014.7"	"   Senior Associate"	"   Mumbai Area, India"	"Columbia University in the City of New York"	2015.1	"present"	"   Graduate Research Assistant under Dr. Smaranda Muresan"	"   Greater New York City Area"	NA
"xxx"	"xxx"	"xxx"	"Software Development Engineer at Amazon"	"Seattle, Washington"	500	"Columbia University in the City of New York"	2015	"2016"	"   Computer Science"	"   Master of Science (M.S.)"	"Shanghai Jiao Tong University"	2012	"2015"	"   Business Administration"	"   Bachelor of Management"	"Shanghai Jiao Tong University"	2011	"2015"	"   Information Engineering"	"   Bachelor of Science (B.S.)"	"Institute of Wireless Communication Technologies"	2014.12	"2015.6"	"   Research Assistant"	"   Shanghai City, China"	"BMW Technology Office China"	2015.3	"2015.5"	"   Software Development Engineer Intern"	"   Shanghai City, China"	"Columbia University in the City of New York"	2016.1	"present"	"   Course Assistant"	"   Greater New York City Area"	NA
"xxx"	"xxx"	"xxx"	"Developer"	"New York, New York"	500	"Columbia University in the City of New York"	2014	"2015"	"   Computer Engineering"	"   Master of Science (M.S.)"	"Columbia University in the City of New York"	2010	"2015"	"   Math and Computer Science (BA), Computer Engineering (BS)"	"   B.A./B.S."	"New Providence High School"	2007	"2010"	"   Salutatorian"	""	"Columbia University"	2012.1	"2015.5"	"   Columbia University Teaching Assistant"	"   NYC"	"Columbia University in the City of New York"	2015.5	"present"	"   Adjunct Professor"	"   NYC"	"MayStreet"	2015.7	"2016.1"	"   Software Engineer"	"   NYC"	NA
