"xxx"	"xxx"	"xxx"	"Data Scientist at Verisk Analytics"	"New York, New York"	294	"Columbia University in the City of New York"	2014	"2015"	"   Data Science"	"   Master&#39;s Degree"	"University of California, Los Angeles"	2012	"2012"	"   Mathematics and Statistics"	"   Exchange student"	"The Chinese University of Hong Kong"	2009	"2013"	"   Risk Management Science"	"   Bachelor&#39;s Degree"	"Place Pixel Inc."	2015.6	"2015.8"	"   Data Scientist Intern"	"   Greater New York City Area"	"The Seelig Group"	2015.9	"2015.12"	"   Machine Learning Intern"	"   Greater New York City Area"	"Verisk Analytics"	2016.2	"present"	"   Data Scientist"	"   Greater New York City Area"	NA
"xxx"	"xxx"	"xxx"	"Data scientist @ Apple"	"San Francisco Bay Area"	500	"Columbia University in the City of New York"	2012	"2013"	"   Operations Research"	"   Master of Science (M.S.)"	"Udacity"	NA	""	"   Machine Learning/Deep Learning"	"   Machine Learning Engineer"	""	NA	""	""	""	"Games.com"	2013.6	"2013.9"	"   Analytics Intern"	"   Greater New York City Area"	"@WalmartLabs"	2014.5	"2017.5"	"   Data Scientist/Engineer"	"   San Francisco Bay Area"	"Apple"	2017.6	"present"	"   Sr. Data Scientist/ Machine Learning Engineer"	""	NA
"xxx"	"xxx"	"xxx"	"MS in Data Science at Columbia"	"Greater New York City Area"	500	"Columbia University in the City of New York"	2016	"2017"	"   Data Science"	"   Master of Science (MS)"	"The Ohio State University"	2012	"2016"	"   Mathematics"	"   Bachelor of Science (BS)"	""	NA	""	""	""	"Orient Securities"	2014.6	"2014.7"	"   Financial Analyst Internship"	"   Shanghai City, China"	"The Ohio State University"	2015.8	"2015.12"	"   Research Assistant"	"   Columbus, Ohio Area"	"Philips Healthcare"	2016.3	"2016.5"	"   Software Engineer Internship"	"   Shanghai City, China"	NA
"xxx"	"xxx"	"xxx"	"Data Scientist at Amazon"	"Greater Seattle Area"	419	"Columbia University in the City of New York"	2015	"2016"	"   Data Science"	"   Master of Science (M.S.)"	"Duke University"	2010	"2012"	"   Economics"	"   M.A"	"Zhejiang University"	2006	"2010"	"   International Economics &amp; Trade / Foreign Languages"	"   B. Econ / B.A."	"Capital One"	2016.6	"2016.8"	"   Data Scientist Intern"	"   Greater New York City Area"	"NBCUniversal Media, LLC"	2016.9	"2016.12"	"   Data Scientist Intern"	"   Greater New York City Area"	"Amazon"	2017.5	"present"	"   Data Scientist"	"   Greater Seattle Area"	NA
"xxx"	"xxx"	"xxx"	"Data Scientist"	"Greater New York City Area"	459	"Columbia University in the City of New York"	2015	"2016"	"   Data Science"	"   Master of Science (M.S.)"	"The Ohio State University"	2011	"2014"	"   Financial Mathematics (summa cum laude)"	"   Bachelor of Science (B.S.)"	""	NA	""	""	""	"Columbia University in the City of New York"	2016.6	"2016.8"	"   Software Engineer Intern"	"   Greater New York City Area"	"Synergic Partners"	2016.9	"2016.12"	"   Capstone Project--Churn Detection"	""	"BriskPoint"	2017.3	"present"	"   Data Scientist"	"   New York, New York"	NA
"xxx"	"xxx"	"xxx"	"Chief Administrative and Operations Officer at Data Science Institute, Columbia University"	"Greater New York City Area"	500	"Teachers College of Columbia University"	2006	"2008"	"   Higher &amp; Postsecondary Education Administration"	"   Masters"	"Fairfield University"	2000	"2003"	"   Applied Industrial/Organizational Psychology"	"   Masters"	"Western Connecticut State University"	1995	"2000"	"   Psychology"	"   Bachelor"	"Columbia University"	2011.2	"2013.1"	"   Assistant Dean of Graduate Student and Post-Doctoral Affairs"	""	"Data Science Institute, Columbia University"	2013.1	"2017.10"	"   Director of Operations for the Data Science Institute"	"   New York, NY"	"Data Science Institute, Columbia University"	2017.1	"present"	"   Chief Administrative and Operations Officer"	"   New York, New York"	NA
"xxx"	"xxx"	"xxx"	"Prospect Acquisition &amp; Data Science at American Express"	"New York, New York"	500	"Columbia University in the City of New York"	2015	"2016"	"   Management Science &amp; Engineering in conjunction with Columbia Business School"	"   Master of Science (M.S.)"	"National Tsing Hua University"	2011	"2013"	"   Engineering and System Science (Material Science and Engineering Major)"	"   Master of Science (M.S.)"	"National Tsing Hua University"	2008	"2011"	"   Engineering and System Science"	"   Bachelor of Science (B.S.)"	"Louis Vuitton"	2015.9	"2016.5"	"   Part-time Consultant (Columbia University - Operations Consulting)"	"   Greater New York City Area"	"Centerlight Health System"	2016.6	"2016.12"	"   Business Intelligence Analyst Intern"	"   Greater New York City Area"	"American Express"	2017.2	"present"	"   Manager - Risk Management, Global Commercial Analytics"	"   ç¾å ç´ç´å¤§é½æå"	NA
"xxx"	"xxx"	"xxx"	"Quantitative Analyst / Data Scientist at Google"	"San Francisco Bay Area"	260	"Columbia University in the City of New York"	2015	"2017"	"   Data Science"	"   Masterâs Degree"	"University of Pennsylvania"	2009	"2013"	"   Economics"	"   Bachelor of Arts (B.A.)"	""	NA	""	""	""	"Handy HQ"	2015.12	"2016.8"	"   Data Science Intern - Marketplace"	"   Greater New York City Area"	"Columbia University in the City of New York"	2017.1	"2017.5"	"   Course Assistant - ENGIE4800 (Data Science Capstone)"	"   Greater New York City Area"	"Google"	2017.6	"present"	"   Quantitative Analyst / Data Scientist"	"   Mountain View, California"	NA
"xxx"	"xxx"	"xxx"	"MS Data Science @ Columbia University"	"New York, New York"	294	"Columbia University in the City of New York"	2017	"2018"	"   Data Science"	"   Master&#39;s degree"	"The College of William and Mary"	2009	"2013"	"   Mathematics and Economics"	"   BS"	""	NA	""	""	""	"US Census Bureau"	2011.6	"2011.8"	"   Office Automation Clerk"	""	"NERA Economic Consulting"	2013.1	"2017.8"	"   Senior Analyst"	""	"Fitzgerald Analytics, Inc."	2013.6	"2013.10"	"   Summer Analyst"	""	NA
"xxx"	"xxx"	"xxx"	"Columbia University | Data Analytics | Machine Learning | Risk Management"	"San Francisco, California"	500	"Columbia University in the City of New York"	2016	"2017"	"   Applied Analytics"	"   Masterâs Degree"	"The Johns Hopkins University"	2015	"2016"	"   Finance"	"   Masterâs Degree"	"Jinan University"	2011	"2015"	"   Finance"	"   Bachelorâs Degree"	"Morningstar"	2015.4	"2015.6"	"   Data Analyst Intern"	"   Shenzhen, Guangdong, China"	"Straterix Inc."	2017.5	"2017.8"	"   Quantitative Analyst Intern"	"   New York, NY"	"China Merchants Bank"	2017.6	"2017.8"	"   Risk Management Intern"	"   New York, NY"	NA
