url,lastName,firstName,currentTitle,currentLocation,connectionCounts,eduSchool,eduStartDate,eduEndDate,eduField,eduDegree,job1Company,job1StartDate,job1EndDate,job1Title,job1Location,job2Company,job2StartDate,job2EndDate,job2Title,job2Location,job3Company,job3StartDate,job3EndDate,job3Title,job3Location
xxx,xxx,xxx,Chief Data Scientist at SchooLinks,"Austin, Texas",500,Columbia University in the City of New York,2013,2014,   Statistics,   Master of Arts (M.A.),JPMorgan Chase,2013.7,2014.2,   Corporate Analyst Development Program,"   New York, NY",RUN,2014.11,2017.2,   Senior Data Science Manager,   Greater New York City Area,JPMorgan Chase,2014.2,2014.11,   Data Scientist - Statistical Modeling Specialist,   Greater New York City Area
xxx,xxx,xxx,Actively looking for  2018 full-time Data Scientist positions,"New York, New York",500,Columbia University in the City of New York,2016,2017,   Statistics,   Master of Arts (M.A.),New Oriental Education &amp; Technology Group,2015.12,2016.1,   Teaching Assistant,"   Beijing City, China",Microsoft,2016.3,2016.6,   Data Analyst Intern,"   Beijing City, China",Advise Technologies,2017.7,2017.8,   Data Analyst Intern,   New York
xxx,xxx,xxx,Data Science Statistical Analyst at IRI,Greater Chicago Area,500,Columbia University in the City of New York,2014,2015,   Statistics,   Master&#39;s Degree,Shanghai Advanced Institute of Finance at SJTU,2012.9,2012.12,   Research Assistant - Data Analyst,"   Shanghai City, China","Royal Canin China, a division of Mars Inc.",2013.5,2013.8,   Database Intern,"   Shanghai City, China",Scopio,2015.5,2015.9,   Data Visualization/Statistics Intern,   Greater New York City Area
xxx,xxx,xxx,M.A. Statistics student at Columbia University,"New York, New York",411,Columbia University in the City of New York,2017,2018,   Statistics,   Master&#39;s degree,EOP  Learning Support Center ,2016.9,2016.12,   Student Tutor,   Greater San Diego Area,University of California San Diego,2016.9,2017.4,   Data Analyst Intern,   220 Dickinson St UnitA,,,,,
xxx,xxx,xxx,Business Analyst at McKinsey &amp; Company,"New York, New York",500,Columbia University in the City of New York,2016,2017,   Statistics,   Master of Arts (MA),Columbia University in the City of New York,2015.6,2015.8,   Research Assistant for Prof. Serena Ng,   Greater New York City Area,Rothschild,2016.6,2016.8,   Investment Banking Summer Analyst,"   New York, New York",Columbia University in the City of New York,2017.1,2017.5,   Teaching Assistant,   Greater New York City Area
xxx,xxx,xxx,Analyst at Spruce Capital ,Greater New York City Area,500,Columbia University in the City of New York,2016,2017,   Statistics,   Master???€??s Degree,Samuel Capital Management,2014.7,2015.5,   Hedge Fund Intern,,RBC Capital Markets,2015.6,2015.8,   Investment Banking Summer Analyst,   New York City,"Susquehanna International Group, LLP (SIG)",2016.6,2016.7,   Quantitative Trading Intern,
xxx,xxx,xxx,Data Scientist | M.A in Statistics at Columbia University |&#92;nLooking for full-time opportunity in data science field,"New York, New York",462,Columbia University in the City of New York,2016,2017.12,   Statistics ??????Data Science Concentration),   Master of Arts (M.A.),China Merchants Bank,2014.8,2014.9,   Summer Intern,"   Pudongxin District, Shanghai, China",China Construction Bank (Asia) Corporation Limited,2016.3,2016.5,   Data Analyst Intern,"   Shanghai City, China",Autodesk,2017.6,2017.9,   Intern- Statistics and Data Science Engineering,   San Francisco Bay Area
xxx,xxx,xxx,Quantitative Analyst &amp; Data Scientist at Rebellion Research,"New York, New York",500,Columbia University in the City of New York,2015,2016,   Statistics,   Master of Arts (M.A.),Northeastern University (CN),2013.6,2015.1,   Research Assistant,"   Shenyang, China",Columbia University in the City of New York,2016.2,2016.12,   Course Assistant (offered to top students),   New York,Rebellion Research,2016.5,present,   Quantitative Analyst &amp; Data Scientist,   New York
xxx,xxx,xxx,Data Scientist at Dotdash (formerly About.com),"New York, New York",500,Columbia University in the City of New York,2016,2017,"   Statistics (Concentration: Computer Science, Data Science)",   Master of Arts (M.A.),Fidelity Investments,2014.6,2015.6,   Analyst,   Texas,TraverseIQ,2016.2,2016.8,   Data Science Intern,"   New York, New York",Uber,2016.9,2016.12,   Operations and Analytics - Graduate Intern,   Southeast Asia
xxx,xxx,xxx,Student,Greater New York City Area,500,Columbia University,2015,2016,   Statistics,   Master???€??s Degree,OUCS,2013.3,2014.4,   Secretary General,"   Oxford, United Kingdom",OXCSSA,2014.5,2015.2,   Director of Media,"   Oxford, United Kingdom",Sunshine Insurance Group Corporation Limited,2015.6,2015.7,   Finance Intern,"   Shenzhen, Guangdong, China"
