"","ST","STATE","OCC_TITLE","A_MEAN","Year","A_ADJ"
"11","AL","Alabama","Computer and Information Systems Managers",119480,2014,125590
"12","AL","Alabama","Financial Managers",119970,2014,126105
"35","AL","Alabama","Business and Financial Operations Occupations",68130,2014,71614
"58","AL","Alabama","Financial Analysts",85590,2014,89967
"59","AL","Alabama","Personal Financial Advisors",109190,2014,114774
"66","AL","Alabama","Computer and Mathematical Occupations",76330,2014,80233
"67","AL","Alabama","Computer and Information Research Scientists",101510,2014,106701
"68","AL","Alabama","Computer Systems Analysts",79700,2014,83776
"70","AL","Alabama","Computer Programmers",81250,2014,85405
"71","AL","Alabama","Software Developers, Applications",93170,2014,97934
"72","AL","Alabama","Software Developers, Systems Software",98350,2014,103379
"73","AL","Alabama","Web Developers",53250,2014,55973
"74","AL","Alabama","Database Administrators",72750,2014,76470
"75","AL","Alabama","Network and Computer Systems Administrators",69530,2014,73085
"81","AL","Alabama","Operations Research Analysts",90590,2014,95222
"82","AL","Alabama","Statisticians",56060,2014,58927
"489","AL","Alabama","Data Entry Keyers",26450,2014,27803
"497","AL","Alabama","Statistical Assistants",33700,2014,35423
"769","AK","Alaska","Computer and Information Systems Managers",114550,2014,98773
"770","AK","Alaska","Financial Managers",111640,2014,96264
"792","AK","Alaska","Business and Financial Operations Occupations",75190,2014,64834
"811","AK","Alaska","Financial Analysts",102690,2014,88546
"812","AK","Alaska","Personal Financial Advisors",92060,2014,79380
"819","AK","Alaska","Computer and Mathematical Occupations",75380,2014,64998
"820","AK","Alaska","Computer and Information Research Scientists",89070,2014,76802
"821","AK","Alaska","Computer Systems Analysts",79720,2014,68740
"823","AK","Alaska","Computer Programmers",81870,2014,70594
"824","AK","Alaska","Software Developers, Applications",81350,2014,70145
"825","AK","Alaska","Software Developers, Systems Software",NA,2014,NA
"826","AK","Alaska","Web Developers",59870,2014,51624
"827","AK","Alaska","Database Administrators",72300,2014,62342
"828","AK","Alaska","Network and Computer Systems Administrators",77790,2014,67076
"833","AK","Alaska","Operations Research Analysts",78270,2014,67490
"1163","AK","Alaska","Data Entry Keyers",35710,2014,30792
"1170","AK","Alaska","Statistical Assistants",43330,2014,37362
"1337","AZ","Arizona","Computer and Information Systems Managers",130330,2014,124178
"1338","AZ","Arizona","Financial Managers",113350,2014,107999
"1363","AZ","Arizona","Business and Financial Operations Occupations",64470,2014,61427
"1386","AZ","Arizona","Financial Analysts",72600,2014,69173
"1387","AZ","Arizona","Personal Financial Advisors",77020,2014,73384
"1395","AZ","Arizona","Computer and Mathematical Occupations",77960,2014,74280
"1396","AZ","Arizona","Computer and Information Research Scientists",113320,2014,107971
"1397","AZ","Arizona","Computer Systems Analysts",88580,2014,84399
"1399","AZ","Arizona","Computer Programmers",80350,2014,76557
"1400","AZ","Arizona","Software Developers, Applications",89650,2014,85418
"1401","AZ","Arizona","Software Developers, Systems Software",94160,2014,89715
"1402","AZ","Arizona","Web Developers",64340,2014,61303
"1403","AZ","Arizona","Database Administrators",75900,2014,72317
"1404","AZ","Arizona","Network and Computer Systems Administrators",76250,2014,72651
"1410","AZ","Arizona","Operations Research Analysts",69910,2014,66610
"1411","AZ","Arizona","Statisticians",78560,2014,74852
"1841","AZ","Arizona","Data Entry Keyers",28580,2014,27231
"1849","AZ","Arizona","Statistical Assistants",38660,2014,36835
"2103","AR","Arkansas","Computer and Information Systems Managers",109880,2014,115631
"2104","AR","Arkansas","Financial Managers",107650,2014,113285
"2128","AR","Arkansas","Business and Financial Operations Occupations",60210,2014,63362
"2149","AR","Arkansas","Financial Analysts",67550,2014,71086
"2150","AR","Arkansas","Personal Financial Advisors",82400,2014,86713
"2158","AR","Arkansas","Computer and Mathematical Occupations",65290,2014,68707
"2159","AR","Arkansas","Computer Systems Analysts",69790,2014,73443
"2161","AR","Arkansas","Computer Programmers",71620,2014,75369
"2162","AR","Arkansas","Software Developers, Applications",80260,2014,84461
"2163","AR","Arkansas","Software Developers, Systems Software",70080,2014,73748
"2164","AR","Arkansas","Web Developers",58810,2014,61888
"2165","AR","Arkansas","Database Administrators",64010,2014,67360
"2166","AR","Arkansas","Network and Computer Systems Administrators",68670,2014,72264
"2171","AR","Arkansas","Operations Research Analysts",61410,2014,64624
"2172","AR","Arkansas","Statisticians",55180,2014,58068
"2560","AR","Arkansas","Data Entry Keyers",26940,2014,28350
"2820","CA","California","Computer and Information Systems Managers",158660,2014,128242
"2821","CA","California","Financial Managers",144670,2014,116934
"2846","CA","California","Business and Financial Operations Occupations",79730,2014,64444
"2870","CA","California","Financial Analysts",102950,2014,83212
"2871","CA","California","Personal Financial Advisors",113240,2014,91530
"2879","CA","California","Computer and Mathematical Occupations",99450,2014,80384
"2880","CA","California","Computer and Information Research Scientists",124610,2014,100720
"2881","CA","California","Computer Systems Analysts",94470,2014,76358
"2883","CA","California","Computer Programmers",89250,2014,72139
"2884","CA","California","Software Developers, Applications",119970,2014,96969
"2885","CA","California","Software Developers, Systems Software",124070,2014,100283
"2886","CA","California","Web Developers",79520,2014,64274
"2887","CA","California","Database Administrators",93370,2014,75469
"2888","CA","California","Network and Computer Systems Administrators",88470,2014,71509
"2895","CA","California","Operations Research Analysts",96290,2014,77829
"2896","CA","California","Statisticians",103590,2014,83730
"3349","CA","California","Data Entry Keyers",32270,2014,26083
"3357","CA","California","Statistical Assistants",52270,2014,42249
"3649","CO","Colorado","Computer and Information Systems Managers",148170,2014,132499
"3650","CO","Colorado","Financial Managers",146320,2014,130844
"3675","CO","Colorado","Business and Financial Operations Occupations",73970,2014,66147
"3698","CO","Colorado","Financial Analysts",101060,2014,90371
"3699","CO","Colorado","Personal Financial Advisors",97450,2014,87143
"3707","CO","Colorado","Computer and Mathematical Occupations",88590,2014,79220
"3708","CO","Colorado","Computer and Information Research Scientists",105140,2014,94020
"3709","CO","Colorado","Computer Systems Analysts",95320,2014,85238
"3711","CO","Colorado","Computer Programmers",92070,2014,82332
"3712","CO","Colorado","Software Developers, Applications",101590,2014,90845
"3713","CO","Colorado","Software Developers, Systems Software",106170,2014,94941
"3714","CO","Colorado","Web Developers",61800,2014,55264
"3715","CO","Colorado","Database Administrators",94050,2014,84103
"3716","CO","Colorado","Network and Computer Systems Administrators",80160,2014,71682
"3723","CO","Colorado","Operations Research Analysts",83850,2014,74982
"3724","CO","Colorado","Statisticians",79960,2014,71503
"4154","CO","Colorado","Data Entry Keyers",34610,2014,30949
"4162","CO","Colorado","Statistical Assistants",47520,2014,42494
"4422","CT","Connecticut","Computer and Information Systems Managers",137650,2014,116177
"4423","CT","Connecticut","Financial Managers",140980,2014,118988
"4446","CT","Connecticut","Business and Financial Operations Occupations",79800,2014,67352
"4469","CT","Connecticut","Financial Analysts",99780,2014,84215
"4470","CT","Connecticut","Personal Financial Advisors",134570,2014,113578
"4478","CT","Connecticut","Computer and Mathematical Occupations",86770,2014,73234
"4479","CT","Connecticut","Computer and Information Research Scientists",114840,2014,96926
"4480","CT","Connecticut","Computer Systems Analysts",93990,2014,79328
"4482","CT","Connecticut","Computer Programmers",86460,2014,72973
"4483","CT","Connecticut","Software Developers, Applications",96370,2014,81337
"4484","CT","Connecticut","Software Developers, Systems Software",95160,2014,80316
"4485","CT","Connecticut","Web Developers",68710,2014,57992
"4486","CT","Connecticut","Database Administrators",88200,2014,74441
"4487","CT","Connecticut","Network and Computer Systems Administrators",86240,2014,72787
"4493","CT","Connecticut","Operations Research Analysts",95100,2014,80265
"4494","CT","Connecticut","Statisticians",NA,2014,NA
"4895","CT","Connecticut","Data Entry Keyers",35660,2014,30097
"4903","CT","Connecticut","Statistical Assistants",68950,2014,58194
"5134","DE","Delaware","Computer and Information Systems Managers",153540,2014,138790
"5135","DE","Delaware","Financial Managers",156640,2014,141592
"5156","DE","Delaware","Business and Financial Operations Occupations",73600,2014,66530
"5175","DE","Delaware","Financial Analysts",84070,2014,75994
"5176","DE","Delaware","Personal Financial Advisors",98250,2014,88812
"5184","DE","Delaware","Computer and Mathematical Occupations",86900,2014,78552
"5185","DE","Delaware","Computer and Information Research Scientists",83240,2014,75244
"5186","DE","Delaware","Computer Systems Analysts",89410,2014,80821
"5188","DE","Delaware","Computer Programmers",86550,2014,78236
"5189","DE","Delaware","Software Developers, Applications",97520,2014,88152
"5190","DE","Delaware","Software Developers, Systems Software",107220,2014,96920
"5191","DE","Delaware","Web Developers",81440,2014,73616
"5192","DE","Delaware","Database Administrators",88210,2014,79736
"5193","DE","Delaware","Network and Computer Systems Administrators",71950,2014,65038
"5198","DE","Delaware","Operations Research Analysts",82460,2014,74538
"5199","DE","Delaware","Statisticians",94990,2014,85865
"5517","DE","Delaware","Data Entry Keyers",27660,2014,25003
"5689","DC","District of Columbia","Computer and Information Systems Managers",146520,2014,113813
"5690","DC","District of Columbia","Financial Managers",142630,2014,110791
"5710","DC","District of Columbia","Business and Financial Operations Occupations",91780,2014,71292
"5730","DC","District of Columbia","Financial Analysts",103420,2014,80334
"5731","DC","District of Columbia","Personal Financial Advisors",111530,2014,86633
"5737","DC","District of Columbia","Computer and Mathematical Occupations",96570,2014,75013
"5738","DC","District of Columbia","Computer and Information Research Scientists",118390,2014,91962
"5739","DC","District of Columbia","Computer Systems Analysts",102680,2014,79759
"5741","DC","District of Columbia","Computer Programmers",89650,2014,69638
"5742","DC","District of Columbia","Software Developers, Applications",99900,2014,77599
"5743","DC","District of Columbia","Software Developers, Systems Software",99550,2014,77328
"5744","DC","District of Columbia","Web Developers",78710,2014,61140
"5745","DC","District of Columbia","Database Administrators",92220,2014,71634
"5746","DC","District of Columbia","Network and Computer Systems Administrators",89070,2014,69187
"5753","DC","District of Columbia","Operations Research Analysts",105990,2014,82330
"5754","DC","District of Columbia","Statisticians",103960,2014,80753
"6100","DC","District of Columbia","Data Entry Keyers",38450,2014,29867
"6107","DC","District of Columbia","Statistical Assistants",51520,2014,40019
"6210","FL","Florida","Computer and Information Systems Managers",135030,2014,124514
"6211","FL","Florida","Financial Managers",128550,2014,118539
"6236","FL","Florida","Business and Financial Operations Occupations",65740,2014,60620
"6260","FL","Florida","Financial Analysts",74970,2014,69132
"6261","FL","Florida","Personal Financial Advisors",102560,2014,94573
"6269","FL","Florida","Computer and Mathematical Occupations",72490,2014,66845
"6270","FL","Florida","Computer and Information Research Scientists",97890,2014,90267
"6271","FL","Florida","Computer Systems Analysts",84280,2014,77717
"6273","FL","Florida","Computer Programmers",76060,2014,70137
"6274","FL","Florida","Software Developers, Applications",84650,2014,78058
"6275","FL","Florida","Software Developers, Systems Software",94760,2014,87380
"6276","FL","Florida","Web Developers",60720,2014,55991
"6277","FL","Florida","Database Administrators",79560,2014,73364
"6278","FL","Florida","Network and Computer Systems Administrators",79970,2014,73742
"6285","FL","Florida","Operations Research Analysts",59720,2014,55069
"6286","FL","Florida","Statisticians",59010,2014,54414
"6729","FL","Florida","Data Entry Keyers",27710,2014,25552
"6737","FL","Florida","Statistical Assistants",38270,2014,35290
"7013","GA","Georgia","Computer and Information Systems Managers",128720,2014,128243
"7014","GA","Georgia","Financial Managers",127080,2014,126609
"7037","GA","Georgia","Business and Financial Operations Occupations",70950,2014,70687
"7060","GA","Georgia","Financial Analysts",78540,2014,78249
"7061","GA","Georgia","Personal Financial Advisors",112960,2014,112541
"7069","GA","Georgia","Computer and Mathematical Occupations",80740,2014,80441
