"","job_loc","lat","long","count","area_and_num","major"
"1","Ann Arbor",42.28,-83.73,10,"1 at Ann Arbor","Computer Science"
"2","Athens",37.98,23.73,20,"2 at Athens","Computer Science"
"3","Atlanta",33.76,-84.42,12,"3 at Atlanta","Computer Science"
"4","Austin",30.31,-97.75,10,"1 at Austin","Computer Science"
"5","Baltimore",39.3,-76.61,10,"1 at Baltimore","Computer Science"
"6","Bangalore",12.97,77.56,16,"4 at Bangalore","Computer Science"
"7","Beijing",39.93,116.4,32,"8 at Beijing","Computer Science"
"8","Bombay",18.96,72.82,36,"9 at Bombay","Computer Science"
"9","Boston",42.34,-71.02,24,"6 at Boston","Computer Science"
"10","Calgary",51.05,-114.06,10,"1 at Calgary","Computer Science"
"11","Cambridge",42.38,-71.12,20,"2 at Cambridge","Computer Science"
"12","Chicago",41.84,-87.68,20,"5 at Chicago","Computer Science"
"13","Curitiba",-25.42,-49.29,10,"1 at Curitiba","Computer Science"
"14","Delhi",28.67,77.21,18,"18 at Delhi","Computer Science"
"15","Duluth",46.78,-92.12,10,"1 at Duluth","Computer Science"
"16","Guangzhou",23.12,113.25,10,"1 at Guangzhou","Computer Science"
"17","Gurgaon",28.47,77.01,12,"3 at Gurgaon","Computer Science"
"18","Hangzhou",30.25,120.17,10,"1 at Hangzhou","Computer Science"
"19","Hillsboro",45.53,-122.94,10,"1 at Hillsboro","Computer Science"
"20","Hyderabad",17.4,78.48,28,"7 at Hyderabad","Computer Science"
"21","Indore",22.72,75.86,10,"1 at Indore","Computer Science"
"22","Jinan",36.67,117,10,"1 at Jinan","Computer Science"
"23","Kanpur",26.47,80.33,10,"1 at Kanpur","Computer Science"
"24","Kingston",44.23,-76.5,10,"1 at Kingston","Computer Science"
"25","Lafayette",30.22,-92.03,10,"1 at Lafayette","Computer Science"
"26","London",51.52,-0.1,10,"1 at London","Computer Science"
"27","Los Angeles",34.11,-118.41,20,"2 at Los Angeles","Computer Science"
"28","Magoula",38.08,23.52,10,"1 at Magoula","Computer Science"
"29","Miami",25.78,-80.21,10,"1 at Miami","Computer Science"
"30","Minneapolis",44.96,-93.27,10,"1 at Minneapolis","Computer Science"
"31","Nanjing",32.05,118.78,12,"3 at Nanjing","Computer Science"
"32","New York",40.67,-73.94,45,"45 at New York","Computer Science"
"33","Newark",40.72,-74.17,10,"1 at Newark","Computer Science"
"34","Noida",28.58,77.33,20,"2 at Noida","Computer Science"
"35","Norfolk",36.92,-76.24,10,"1 at Norfolk","Computer Science"
"36","Palo Alto",37.4,-122.14,13,"13 at Palo Alto","Computer Science"
"37","Philadelphia",40.01,-75.13,10,"1 at Philadelphia","Computer Science"
"38","Providence",41.82,-71.42,10,"1 at Providence","Computer Science"
"39","Pune",18.53,73.84,20,"5 at Pune","Computer Science"
"40","Redmond",47.67,-122.11,10,"1 at Redmond","Computer Science"
"41","San Diego",32.81,-117.14,10,"1 at San Diego","Computer Science"
"42","San Francisco",37.77,-122.45,28,"7 at San Francisco","Computer Science"
"43","San Jose",37.3,-121.85,10,"1 at San Jose","Computer Science"
"44","Santa Clara",37.37,-121.97,10,"1 at Santa Clara","Computer Science"
"45","Seattle",47.62,-122.35,15,"15 at Seattle","Computer Science"
"46","Shanghai",31.23,121.47,16,"4 at Shanghai","Computer Science"
"47","Singapore",1.3,103.85,20,"2 at Singapore","Computer Science"
"48","Sunnyvale",37.39,-122.03,20,"2 at Sunnyvale","Computer Science"
"49","Taipei",25.02,121.45,20,"2 at Taipei","Computer Science"
"50","Thessaloniki",40.64,22.94,10,"1 at Thessaloniki","Computer Science"
"51","Tianjin",39.13,117.2,10,"1 at Tianjin","Computer Science"
"52","Tokyo",35.67,139.77,10,"1 at Tokyo","Computer Science"
"53","Trenton",40.22,-74.76,10,"1 at Trenton","Computer Science"
"54","Wuhan",30.58,114.27,20,"2 at Wuhan","Computer Science"
"55","Ann Arbor",42.28,-83.73,10,"1 at Ann Arbor","Statistics"
"56","Bangkok",13.73,100.5,10,"1 at Bangkok","Statistics"
"57","Beijing",39.93,116.4,20,"5 at Beijing","Statistics"
"58","Boston",42.34,-71.02,16,"4 at Boston","Statistics"
"59","Chapel Hill",35.93,-79.04,10,"1 at Chapel Hill","Statistics"
"60","Chengdu",30.67,104.07,10,"1 at Chengdu","Statistics"
"61","Chicago",41.84,-87.68,20,"2 at Chicago","Statistics"
